Crop_Type,Soil_Type,Nitrogen_N,Phosphorus_P,Potassium_K,pH_Level,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Fertilizer_Recommendation,Irrigation_Method,Water_Requirement_mm
Watermelon,Sandy,32,20,60,5.6,17,57,48,109,NPK 10-26-26,Drip,0.0
Rice,Clay,60,52,55,6.7,15,41,72,69,Organic Compost / General,Flood,0.0
Banana,Clay,137,77,177,6.3,36,54,45,98,Organic Compost / General,Drip,0.0
Blackgram,Loamy,0,55,0,7.9,21,46,95,169,Organic Compost / General,Furrow,0.0
Watermelon,Sandy,83,32,98,6.3,36,87,36,52,Organic Compost / General,Drip,0.0
Rice,Clay,117,24,47,5.2,38,72,25,218,SSP,Flood,0.0
Coconut,Red,95,63,140,5.2,24,73,57,185,Organic Compost / General,Basin,0.0
Rice,Clay,107,29,48,6.1,18,81,67,137,SSP,Flood,0.0
Blackgram,Loamy,16,26,16,8.0,31,59,26,141,SSP,Furrow,0.0
Pigeonpeas,Loamy,2,54,0,5.8,30,54,45,159,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,19,20,52,6.6,37,77,55,142,SSP,Sprinkler,0.0
Pomegranate,Sandy,66,35,98,6.0,27,69,46,236,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,11,42,14,7.2,23,53,65,46,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,83,21,85,5.6,20,45,84,17,DAP,Drip,0.0
Pomegranate,Sandy,55,12,92,6.6,17,57,88,140,DAP,Drip,0.0
Watermelon,Sandy,75,69,97,6.7,17,67,20,192,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,32,10,144,6.6,26,38,81,232,Urea,Drip,0.0
Banana,Clay,124,40,178,6.5,27,85,36,160,Ammonium Sulphate,Drip,0.0
Kidneybeans,Sandy Loam,0,26,35,6.8,28,49,93,49,Ammonium Sulphate,Sprinkler,0.0
Chickpea,Loamy,42,43,28,7.0,20,74,87,136,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,91,26,85,5.4,26,83,66,34,Organic Compost / General,Drip,0.0
Banana,Clay,145,50,211,6.2,29,86,53,241,Organic Compost / General,Drip,0.0
Apple,Clay Loam,103,23,119,5.2,30,66,92,105,SSP,Drip,0.0
Maize,Sandy Loam,125,47,64,5.3,22,48,64,75,Organic Compost / General,Furrow,0.0
Mothbeans,Sandy,1,42,7,6.9,19,90,23,42,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,120,43,31,7.2,23,83,95,104,Organic Compost / General,Furrow,0.0
Blackgram,Loamy,2,68,3,7.9,24,40,64,2,Organic Compost / General,Furrow,0.0
Lentil,Loamy,1,28,7,6.4,21,31,82,15,Ammonium Sulphate,Sprinkler,0.0
Muskmelon,Sandy Loam,88,59,58,7.0,33,40,20,220,MOP,Drip,0.0
Grapes,Sandy Loam,56,67,169,6.4,35,40,88,239,Organic Compost / General,Drip,0.0
Mango,Loamy,72,45,104,6.6,15,62,48,207,Organic Compost / General,Drip,0.0
Apple,Clay Loam,83,0,125,6.8,28,84,83,72,DAP,Drip,0.0
Coffee,Red,92,21,89,5.1,35,35,61,152,Organic Compost / General,Sprinkler,0.0
Jute,Clay,38,47,33,7.0,34,82,91,174,Urea,Flood,0.0
Maize,Sandy Loam,94,36,41,6.8,36,31,58,219,Ammonium Sulphate,Furrow,0.0
Banana,Clay,159,81,191,6.5,38,85,83,193,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,9,43,44,6.4,31,30,69,206,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,37,64,28,5.5,38,69,53,133,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,115,75,20,7.1,29,81,93,93,Organic Compost / General,Furrow,0.0
Muskmelon,Sandy Loam,36,24,118,7.8,36,76,66,31,Urea,Drip,0.0
Jute,Clay,74,60,0,6.6,38,78,83,178,MOP,Flood,0.0
Banana,Clay,131,66,224,6.6,38,35,22,23,Organic Compost / General,Drip,53.6
Maize,Sandy Loam,120,46,48,6.0,23,32,41,194,Organic Compost / General,Furrow,0.0
Banana,Clay,131,72,176,6.3,34,47,46,212,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,66,59,171,5.6,32,57,84,228,Organic Compost / General,Drip,0.0
Papaya,Loamy,37,17,73,7.5,20,81,32,98,Urea,Drip,0.0
Coconut,Red,103,59,133,6.5,30,44,46,73,Organic Compost / General,Basin,0.0
Mothbeans,Sandy,1,21,24,6.3,17,38,47,223,Organic Compost / General,Drip,0.0
Coconut,Red,139,42,149,6.8,15,58,70,25,Organic Compost / General,Basin,0.0
Jute,Clay,36,50,15,6.3,22,30,44,81,Urea,Flood,0.0
Coconut,Red,140,41,151,5.0,26,40,33,11,Organic Compost / General,Basin,48.0
Coconut,Red,101,42,195,7.2,32,83,94,249,Organic Compost / General,Basin,0.0
Orange,Black,94,59,75,6.8,20,32,84,157,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,55,48,74,7.1,27,49,75,70,Organic Compost / General,Sprinkler,0.0
Jute,Clay,41,34,8,6.3,26,42,28,164,MOP,Flood,0.0
Pigeonpeas,Loamy,35,54,38,6.9,34,37,83,35,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,13,45,6,8.2,38,55,92,63,Organic Compost / General,Drip,0.0
Cotton,Black,103,10,26,6.1,17,88,82,171,DAP,Drip,0.0
Banana,Clay,140,73,191,5.6,26,52,88,216,Organic Compost / General,Drip,0.0
Papaya,Loamy,71,46,83,5.9,23,68,87,212,Organic Compost / General,Drip,0.0
Mango,Loamy,68,32,68,6.3,20,80,82,163,MOP,Drip,0.0
Lentil,Loamy,9,64,0,5.7,30,84,36,119,Organic Compost / General,Sprinkler,0.0
Grapes,Sandy Loam,90,37,135,6.5,17,63,85,222,SSP,Drip,0.0
Banana,Clay,133,50,212,6.8,28,59,24,22,Organic Compost / General,Drip,51.4
Pigeonpeas,Loamy,43,41,9,7.2,32,50,37,216,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,88,37,124,6.3,29,48,20,108,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,118,46,25,7.2,16,46,42,33,Organic Compost / General,Furrow,0.6
Banana,Clay,123,53,180,6.2,31,88,57,103,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,124,67,23,5.6,28,87,20,230,Organic Compost / General,Furrow,0.0
Lentil,Loamy,14,51,26,5.7,21,63,34,220,Organic Compost / General,Sprinkler,0.0
Coffee,Red,60,24,61,4.5,22,75,78,123,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,14,40,19,6.4,16,90,32,28,Organic Compost / General,Sprinkler,0.0
Pomegranate,Sandy,40,49,79,6.8,31,39,31,138,Organic Compost / General,Drip,0.0
Mango,Loamy,91,39,68,5.1,31,37,62,46,MOP,Drip,0.0
Apple,Clay Loam,60,50,132,5.0,29,51,89,100,Organic Compost / General,Drip,0.0
Cotton,Black,83,9,67,6.9,25,39,77,45,DAP,Drip,0.0
Rice,Clay,79,36,26,5.3,33,79,62,40,Organic Compost / General,Flood,2.5
Grapes,Sandy Loam,22,29,131,7.2,27,48,94,198,Urea,Drip,0.0
Orange,Black,71,41,97,7.1,16,50,90,59,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,81,68,158,6.2,16,88,41,236,Organic Compost / General,Drip,0.0
Papaya,Loamy,68,44,68,5.6,30,73,33,23,Organic Compost / General,Drip,22.1
Lentil,Loamy,30,32,21,6.4,34,84,56,57,Organic Compost / General,Sprinkler,0.0
Coconut,Red,74,72,101,5.1,32,38,40,44,Urea,Basin,2.3
Papaya,Loamy,71,60,89,5.8,17,71,31,63,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,74,58,112,6.9,17,42,41,22,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,87,26,143,6.4,16,56,37,21,DAP,Drip,10.2
Kidneybeans,Sandy Loam,3,40,41,6.7,29,59,60,134,Organic Compost / General,Sprinkler,0.0
Blackgram,Loamy,11,30,53,7.0,20,83,45,58,Organic Compost / General,Furrow,0.0
Coconut,Red,120,9,162,7.2,19,76,48,183,DAP,Basin,0.0
Orange,Black,50,48,86,7.4,17,85,81,132,Urea,Drip,0.0
Coconut,Red,80,22,147,5.0,28,36,55,76,Ammonium Sulphate,Basin,0.0
Apple,Clay Loam,85,44,130,5.3,36,49,67,98,Organic Compost / General,Drip,0.0
Rice,Clay,98,26,33,6.5,17,34,85,212,SSP,Flood,0.0
Muskmelon,Sandy Loam,38,11,50,5.7,28,72,62,101,NPK 10-26-26,Drip,0.0
Maize,Sandy Loam,81,47,44,6.8,23,77,78,186,Organic Compost / General,Furrow,0.0
Blackgram,Loamy,5,63,49,7.4,25,47,87,22,Organic Compost / General,Furrow,0.0
Mungbean,Sandy Loam,27,45,35,7.2,21,54,39,190,Organic Compost / General,Sprinkler,0.0
Mothbeans,Sandy,0,55,27,8.0,18,71,47,48,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,77,60,76,7.0,21,43,57,12,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,69,69,133,5.7,25,48,61,227,Organic Compost / General,Drip,0.0
Mango,Loamy,95,45,90,5.8,28,45,77,120,Organic Compost / General,Drip,0.0
Cotton,Black,80,38,34,7.5,37,61,78,153,Organic Compost / General,Drip,0.0
Orange,Black,66,27,104,6.8,29,80,65,237,Ammonium Sulphate,Drip,0.0
Maize,Sandy Loam,82,65,63,5.5,35,63,51,55,Organic Compost / General,Furrow,0.0
Watermelon,Sandy,82,37,71,5.5,25,78,36,30,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,57,47,70,5.8,25,42,35,80,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,0,47,33,7.9,25,83,57,160,Organic Compost / General,Drip,0.0
Lentil,Loamy,15,42,0,7.4,37,40,33,27,Organic Compost / General,Sprinkler,0.0
Banana,Clay,165,63,215,6.7,25,67,31,45,Organic Compost / General,Drip,22.5
Grapes,Sandy Loam,102,32,117,6.2,29,90,95,158,MOP,Drip,0.0
Kidneybeans,Sandy Loam,21,25,17,5.5,19,84,75,2,SSP,Sprinkler,0.0
Grapes,Sandy Loam,73,72,124,7.6,36,58,38,227,Organic Compost / General,Drip,0.0
Banana,Clay,113,32,158,6.9,35,40,66,141,NPK 10-26-26,Drip,0.0
Pigeonpeas,Loamy,0,62,0,6.6,31,75,75,216,Organic Compost / General,Drip,0.0
Blackgram,Loamy,44,20,2,7.6,33,34,72,149,SSP,Furrow,0.0
Mungbean,Sandy Loam,0,48,7,6.1,38,36,20,206,MOP,Sprinkler,0.0
Muskmelon,Sandy Loam,85,46,89,5.9,18,66,79,133,Organic Compost / General,Drip,0.0
Mango,Loamy,68,48,36,7.1,22,69,25,135,MOP,Drip,0.0
Coconut,Red,65,47,163,7.2,15,90,32,164,Urea,Basin,0.0
Watermelon,Sandy,76,47,70,5.7,36,70,47,139,Organic Compost / General,Drip,0.0
Jute,Clay,46,20,38,5.9,30,89,86,24,Organic Compost / General,Flood,0.0
Blackgram,Loamy,61,52,35,7.6,24,43,75,52,Organic Compost / General,Furrow,0.0
Banana,Clay,119,51,205,5.9,22,80,20,38,Organic Compost / General,Drip,44.6
Papaya,Loamy,60,34,45,7.3,38,56,36,46,NPK 10-26-26,Drip,0.0
Grapes,Sandy Loam,45,40,120,6.9,25,44,92,226,Organic Compost / General,Drip,0.0
Blackgram,Loamy,6,75,18,7.1,28,49,72,107,Organic Compost / General,Furrow,0.0
Cotton,Black,67,37,51,8.4,19,72,58,19,Urea,Drip,0.0
Grapes,Sandy Loam,20,52,155,5.7,18,72,26,91,Urea,Drip,0.0
Apple,Clay Loam,81,38,110,5.4,28,83,88,32,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,9,62,33,7.0,17,63,76,175,Organic Compost / General,Sprinkler,0.0
Kidneybeans,Sandy Loam,0,26,17,5.6,32,46,78,145,Ammonium Sulphate,Sprinkler,0.0
Mothbeans,Sandy,0,4,11,7.6,21,55,74,166,DAP,Drip,0.0
Apple,Clay Loam,110,29,107,6.0,26,54,81,48,SSP,Drip,0.0
Maize,Sandy Loam,58,51,14,6.5,37,90,81,79,Urea,Furrow,0.0
Kidneybeans,Sandy Loam,0,33,47,6.3,26,36,20,7,Organic Compost / General,Sprinkler,37.5
Mango,Loamy,71,27,102,5.2,29,57,29,162,Organic Compost / General,Drip,0.0
Orange,Black,106,51,74,6.7,15,52,20,3,Organic Compost / General,Drip,52.5
Chickpea,Loamy,0,35,61,7.7,29,30,77,179,Ammonium Sulphate,Sprinkler,0.0
Pomegranate,Sandy,64,39,107,7.5,22,38,91,112,Organic Compost / General,Drip,0.0
Cotton,Black,95,37,30,7.4,32,86,84,150,Organic Compost / General,Drip,0.0
Mango,Loamy,85,31,74,6.8,19,69,75,171,Organic Compost / General,Drip,0.0
Blackgram,Loamy,0,13,29,6.8,25,45,39,221,DAP,Furrow,0.0
Mothbeans,Sandy,24,22,22,7.4,33,82,82,238,Organic Compost / General,Drip,0.0
Jute,Clay,69,39,29,6.4,18,54,93,35,Organic Compost / General,Flood,0.0
Kidneybeans,Sandy Loam,1,9,35,6.8,15,67,33,106,DAP,Sprinkler,0.0
Muskmelon,Sandy Loam,101,25,76,6.8,36,45,26,59,SSP,Drip,0.0
Kidneybeans,Sandy Loam,0,24,4,5.9,15,82,62,13,MOP,Sprinkler,0.0
Papaya,Loamy,91,68,86,6.1,21,88,84,216,Organic Compost / General,Drip,0.0
Jute,Clay,55,24,43,6.6,34,59,21,20,Organic Compost / General,Flood,88.5
Mango,Loamy,116,46,63,5.2,33,80,88,135,MOP,Drip,0.0
Kidneybeans,Sandy Loam,0,53,22,5.7,23,87,57,73,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,13,37,54,7.3,33,41,45,46,SSP,Drip,0.0
Grapes,Sandy Loam,70,42,162,6.4,36,61,79,55,Organic Compost / General,Drip,0.0
Papaya,Loamy,54,48,72,6.2,32,83,56,202,Urea,Drip,0.0
Coconut,Red,62,21,126,7.0,21,85,63,97,NPK 10-26-26,Basin,0.0
Mungbean,Sandy Loam,4,7,49,6.7,33,38,49,46,DAP,Sprinkler,0.0
Coffee,Red,88,27,120,5.8,26,46,59,31,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,12,48,0,7.0,15,45,23,249,MOP,Sprinkler,0.0
Muskmelon,Sandy Loam,46,40,101,6.8,30,55,25,150,Urea,Drip,0.0
Orange,Black,92,39,78,6.2,32,53,29,146,Organic Compost / General,Drip,0.0
Apple,Clay Loam,74,38,115,6.6,36,75,72,169,Organic Compost / General,Drip,0.0
Coffee,Red,85,23,84,6.8,19,50,94,66,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,100,53,39,7.5,25,84,49,91,MOP,Drip,0.0
Mothbeans,Sandy,5,19,31,6.5,26,58,41,62,SSP,Drip,0.0
Coffee,Red,91,45,86,5.0,37,41,72,96,Organic Compost / General,Sprinkler,0.0
Coconut,Red,98,36,142,5.9,24,61,27,198,Organic Compost / General,Basin,0.0
Grapes,Sandy Loam,60,50,115,7.5,25,61,45,142,MOP,Drip,0.0
Pigeonpeas,Loamy,20,45,14,6.4,35,42,67,146,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,50,39,82,7.7,25,73,81,202,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,63,52,99,7.6,16,36,47,109,Organic Compost / General,Drip,0.0
Banana,Clay,109,65,184,6.2,21,88,49,218,Urea,Drip,0.0
Maize,Sandy Loam,114,36,27,5.6,18,49,38,94,SSP,Furrow,0.0
Banana,Clay,114,59,198,7.4,19,53,25,120,Organic Compost / General,Drip,0.0
Watermelon,Sandy,65,36,72,7.0,31,50,62,16,Organic Compost / General,Drip,0.0
Chickpea,Loamy,6,28,16,5.5,30,66,92,108,DAP,Sprinkler,0.0
Grapes,Sandy Loam,70,47,140,7.7,38,69,87,31,Organic Compost / General,Drip,0.0
Apple,Clay Loam,85,57,97,6.2,25,90,52,240,Organic Compost / General,Drip,0.0
Orange,Black,76,56,88,6.4,28,55,57,81,Organic Compost / General,Drip,0.0
Chickpea,Loamy,0,52,19,7.0,38,77,25,140,Organic Compost / General,Sprinkler,0.0
Blackgram,Loamy,55,42,9,6.5,38,46,60,100,Organic Compost / General,Furrow,0.0
Muskmelon,Sandy Loam,51,41,75,7.2,29,77,35,176,Organic Compost / General,Drip,0.0
Papaya,Loamy,100,50,57,5.7,18,49,37,30,Organic Compost / General,Drip,10.5
Grapes,Sandy Loam,38,50,139,6.5,17,65,67,116,Urea,Drip,0.0
Blackgram,Loamy,0,52,38,7.6,18,49,64,181,Organic Compost / General,Furrow,0.0
Jute,Clay,72,41,52,6.2,17,35,29,239,Organic Compost / General,Flood,0.0
Kidneybeans,Sandy Loam,0,56,35,6.9,33,72,58,206,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,16,47,51,6.0,17,58,91,194,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,3,68,43,7.4,16,38,49,43,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,58,44,148,6.5,25,81,28,233,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,143,65,45,6.1,23,52,53,181,Organic Compost / General,Furrow,0.0
Lentil,Loamy,20,43,47,6.9,27,80,77,86,Organic Compost / General,Sprinkler,0.0
Coconut,Red,76,24,102,5.3,37,61,77,117,NPK 10-26-26,Basin,0.0
Coconut,Red,92,50,170,5.3,26,73,36,208,Organic Compost / General,Basin,0.0
Mango,Loamy,69,27,108,6.1,29,89,86,33,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,27,33,38,7.2,31,33,57,172,Organic Compost / General,Sprinkler,0.0
Grapes,Sandy Loam,23,41,142,7.6,16,50,49,61,Urea,Drip,0.0
Pomegranate,Sandy,47,31,74,7.7,36,57,81,46,Organic Compost / General,Drip,0.0
Rice,Clay,84,44,65,5.3,35,49,73,227,Organic Compost / General,Flood,0.0
Pomegranate,Sandy,81,34,85,6.2,27,72,42,136,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,78,56,165,6.2,22,89,25,235,Organic Compost / General,Drip,0.0
Lentil,Loamy,53,16,49,5.6,35,58,20,95,DAP,Sprinkler,0.0
Kidneybeans,Sandy Loam,24,48,22,5.4,25,36,21,140,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,49,46,50,6.1,30,78,69,79,Urea,Drip,0.0
Pomegranate,Sandy,50,62,83,6.2,18,52,58,101,Organic Compost / General,Drip,0.0
Orange,Black,34,50,63,7.7,23,80,94,76,Urea,Drip,0.0
Cotton,Black,78,33,19,6.8,33,69,34,66,MOP,Drip,0.0
Coconut,Red,83,42,154,5.6,25,61,45,231,Organic Compost / General,Basin,0.0
Pomegranate,Sandy,14,18,81,6.8,15,72,80,245,Urea,Drip,0.0
Chickpea,Loamy,0,38,44,6.4,16,77,78,58,Ammonium Sulphate,Sprinkler,0.0
Apple,Clay Loam,46,44,133,5.5,28,57,72,224,Urea,Drip,0.0
Orange,Black,27,58,94,7.8,29,34,94,100,Urea,Drip,0.0
Muskmelon,Sandy Loam,56,33,31,7.0,26,67,77,125,MOP,Drip,0.0
Pomegranate,Sandy,17,56,82,6.1,35,66,93,68,Urea,Drip,0.0
Kidneybeans,Sandy Loam,10,45,13,5.8,29,74,55,110,Organic Compost / General,Sprinkler,0.0
Blackgram,Loamy,0,69,5,6.5,19,81,41,21,Organic Compost / General,Furrow,0.0
Maize,Sandy Loam,141,43,41,6.6,29,38,35,11,Organic Compost / General,Furrow,37.5
Mothbeans,Sandy,11,26,42,6.5,33,60,72,153,Organic Compost / General,Drip,0.0
Papaya,Loamy,82,30,82,6.6,26,48,95,15,SSP,Drip,0.0
Orange,Black,97,26,113,6.9,17,70,48,187,SSP,Drip,0.0
Kidneybeans,Sandy Loam,20,44,55,5.8,17,84,25,107,Organic Compost / General,Sprinkler,0.0
Maize,Sandy Loam,93,69,0,7.1,34,83,73,179,MOP,Furrow,0.0
Watermelon,Sandy,51,53,66,5.8,17,79,20,89,Organic Compost / General,Drip,0.0
Mango,Loamy,60,33,92,5.4,30,82,65,39,Organic Compost / General,Drip,0.0
Jute,Clay,119,49,27,6.0,16,48,47,9,Organic Compost / General,Flood,49.5
Mungbean,Sandy Loam,0,37,17,6.1,34,67,93,51,Organic Compost / General,Sprinkler,0.0
Mungbean,Sandy Loam,51,30,56,7.1,28,74,93,65,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,4,53,12,7.5,22,32,72,7,Organic Compost / General,Sprinkler,0.0
Coconut,Red,97,39,166,5.8,18,69,53,40,Organic Compost / General,Basin,0.0
Chickpea,Loamy,13,67,18,6.7,34,51,93,157,Organic Compost / General,Sprinkler,0.0
Cotton,Black,76,26,34,6.7,33,37,62,68,NPK 10-26-26,Drip,0.0
Maize,Sandy Loam,117,51,49,7.2,32,79,74,34,Organic Compost / General,Furrow,0.0
Apple,Clay Loam,85,53,79,7.0,15,36,44,221,MOP,Drip,0.0
Coffee,Red,84,0,70,6.1,38,69,35,83,DAP,Sprinkler,0.0
Blackgram,Loamy,0,39,51,6.0,31,54,62,53,Organic Compost / General,Furrow,0.0
Mango,Loamy,90,36,87,5.8,33,38,81,185,Organic Compost / General,Drip,0.0
Cotton,Black,97,1,7,7.6,36,76,53,158,DAP,Drip,0.0
Orange,Black,65,61,60,7.9,28,69,48,64,MOP,Drip,0.0
Kidneybeans,Sandy Loam,7,50,0,6.1,20,46,53,16,MOP,Sprinkler,0.0
Cotton,Black,103,24,72,7.0,32,89,28,198,SSP,Drip,0.0
Grapes,Sandy Loam,66,49,144,5.7,25,79,70,168,Organic Compost / General,Drip,0.0
Watermelon,Sandy,61,60,69,5.8,35,48,55,155,Organic Compost / General,Drip,0.0
Orange,Black,88,42,98,5.6,15,87,90,58,Organic Compost / General,Drip,0.0
Cotton,Black,99,58,68,7.9,24,83,32,235,Organic Compost / General,Drip,0.0
Mango,Loamy,65,39,88,5.2,26,52,60,97,Organic Compost / General,Drip,0.0
Cotton,Black,94,33,6,8.1,19,69,72,170,MOP,Drip,0.0
Papaya,Loamy,115,54,49,5.5,31,71,71,205,MOP,Drip,0.0
Cotton,Black,96,28,23,7.4,23,30,51,220,MOP,Drip,0.0
Kidneybeans,Sandy Loam,68,23,56,5.5,18,77,34,5,SSP,Sprinkler,16.5
Pomegranate,Sandy,68,33,90,7.9,22,52,88,231,Organic Compost / General,Drip,0.0
Lentil,Loamy,9,40,39,5.7,37,85,56,62,Organic Compost / General,Sprinkler,0.0
Banana,Clay,134,46,212,7.9,29,30,47,82,SSP,Drip,0.0
Orange,Black,52,31,90,6.3,34,59,46,103,Urea,Drip,0.0
Mungbean,Sandy Loam,16,25,15,6.3,15,32,84,155,SSP,Sprinkler,0.0
Apple,Clay Loam,89,29,92,6.2,36,30,68,94,SSP,Drip,0.0
Rice,Clay,87,35,45,6.1,18,59,71,155,Organic Compost / General,Flood,0.0
Lentil,Loamy,17,67,0,5.5,34,77,61,9,Organic Compost / General,Sprinkler,0.0
Grapes,Sandy Loam,63,77,157,7.1,30,53,85,218,Organic Compost / General,Drip,0.0
Watermelon,Sandy,67,4,53,6.0,29,52,95,187,DAP,Drip,0.0
Pomegranate,Sandy,69,44,44,6.1,33,64,64,180,MOP,Drip,0.0
Watermelon,Sandy,89,43,60,5.7,19,74,63,116,Organic Compost / General,Drip,0.0
Watermelon,Sandy,62,45,124,5.6,27,41,80,90,Organic Compost / General,Drip,0.0
Papaya,Loamy,91,63,81,5.8,21,75,50,247,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,63,50,85,7.7,34,58,41,35,Organic Compost / General,Drip,0.0
Blackgram,Loamy,22,71,43,6.8,22,66,51,50,Organic Compost / General,Furrow,0.0
Watermelon,Sandy,62,50,92,5.9,33,36,95,59,Organic Compost / General,Drip,0.0
Apple,Clay Loam,57,32,136,5.4,27,44,53,159,Urea,Drip,0.0
Grapes,Sandy Loam,48,58,138,5.9,21,81,23,101,Organic Compost / General,Drip,0.0
Coconut,Red,75,21,173,7.3,33,73,58,22,Urea,Basin,0.0
Pigeonpeas,Loamy,54,64,0,7.9,32,83,33,150,Organic Compost / General,Drip,0.0
Coconut,Red,100,63,142,6.2,26,62,83,86,Organic Compost / General,Basin,0.0
Maize,Sandy Loam,92,61,2,7.0,19,54,90,16,MOP,Furrow,0.0
Pigeonpeas,Loamy,0,36,15,7.2,18,31,95,44,Ammonium Sulphate,Drip,0.0
Chickpea,Loamy,19,48,54,5.5,21,82,30,41,Organic Compost / General,Sprinkler,0.0
Coffee,Red,79,38,49,5.5,34,70,83,149,MOP,Sprinkler,0.0
Blackgram,Loamy,4,22,2,7.9,25,62,86,79,Ammonium Sulphate,Furrow,0.0
Lentil,Loamy,22,30,39,5.9,18,58,72,30,Organic Compost / General,Sprinkler,0.0
Banana,Clay,97,22,152,5.6,15,80,78,134,NPK 10-26-26,Drip,0.0
Muskmelon,Sandy Loam,65,45,98,7.6,25,74,30,225,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,0,43,20,6.2,28,87,46,148,Organic Compost / General,Drip,0.0
Jute,Clay,41,60,62,7.0,19,79,41,72,Organic Compost / General,Flood,0.9
Pigeonpeas,Loamy,24,71,26,6.9,32,52,81,13,Organic Compost / General,Drip,0.0
Lentil,Loamy,0,55,7,5.7,36,83,44,37,Organic Compost / General,Sprinkler,0.0
Muskmelon,Sandy Loam,87,27,52,7.4,35,71,26,239,MOP,Drip,0.0
Kidneybeans,Sandy Loam,4,39,25,5.8,24,49,57,222,Organic Compost / General,Sprinkler,0.0
Banana,Clay,130,50,201,6.6,27,51,69,128,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,6,43,36,6.1,35,53,45,53,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,67,19,92,7.0,15,84,69,227,Ammonium Sulphate,Drip,0.0
Maize,Sandy Loam,84,72,49,6.9,28,37,74,214,Organic Compost / General,Furrow,0.0
Orange,Black,87,37,94,5.5,24,89,73,75,Organic Compost / General,Drip,0.0
Jute,Clay,34,52,24,6.6,16,67,65,172,Urea,Flood,0.0
Rice,Clay,60,14,49,6.0,19,85,70,74,DAP,Flood,0.0
Maize,Sandy Loam,67,66,29,6.5,15,81,78,48,Urea,Furrow,0.0
Coffee,Red,57,31,48,4.7,26,70,20,149,Urea,Sprinkler,0.0
Coffee,Red,80,28,67,7.0,23,45,77,195,Organic Compost / General,Sprinkler,0.0
Apple,Clay Loam,52,20,139,6.9,37,76,86,20,Urea,Drip,0.0
Lentil,Loamy,0,58,57,6.4,24,77,67,66,Organic Compost / General,Sprinkler,0.0
Watermelon,Sandy,82,16,87,7.0,21,67,79,160,DAP,Drip,0.0
Apple,Clay Loam,77,49,100,5.8,24,63,41,143,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,47,53,19,6.2,38,63,80,157,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,41,36,95,7.8,29,81,46,66,Organic Compost / General,Drip,0.0
Banana,Clay,95,34,218,6.3,30,76,88,32,Urea,Drip,0.0
Blackgram,Loamy,24,23,28,5.7,37,46,71,160,SSP,Furrow,0.0
Rice,Clay,78,30,23,5.5,29,83,85,112,Organic Compost / General,Flood,0.0
Grapes,Sandy Loam,32,39,155,6.6,34,66,23,139,Urea,Drip,0.0
Apple,Clay Loam,38,31,123,5.2,31,49,41,99,Urea,Drip,0.0
Papaya,Loamy,92,63,64,7.3,15,37,75,102,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,42,71,151,6.3,38,59,87,146,Organic Compost / General,Drip,0.0
Apple,Clay Loam,50,30,123,6.8,16,30,82,160,Urea,Drip,0.0
