crop_type,soil_moisture_%,soil_pH,nitrogen_ppm,phosphorus_ppm,potassium_ppm,temperature_C,rainfall_mm,humidity_%,sunlight_hours,row_spacing_cm,plant_spacing_cm,plant_density_per_sqm,pesticide_usage_ml,total_days,NDVI_index,yield_kg_per_ha
wheat,41.72,7.13,86.21,76.7,88.67,30.4,703.7,84.92,8.1,19.23,5.79,89.81,314.51,145,0.85,4791.38
cotton,82.8,6.62,63.89,37.02,66.45,25.19,658.14,52.24,5.63,54.67,24.99,7.32,417.77,147,0.518,2675.13
rice,74.23,6.78,98.84,63.48,50.08,31.2,543.15,73.63,6.55,17.11,5.31,110.09,301.93,101,0.555,4043.28
soybean,48.24,7.05,62.03,47.66,46.6,25.63,709.69,78.33,6.71,24.16,8.87,46.68,203.91,148,0.588,2142.59
rice,79.98,7.01,43.75,41.84,90.31,25.2,572.34,65.48,6.65,17.22,7.9,73.53,6.69,125,0.774,4311.18
maize,89.46,5.72,96.66,40.31,71.02,32.33,722.7,72.44,7.51,62.8,30.38,5.24,223.91,128,0.825,7481.79
wheat,73.01,5.82,87.11,34.7,30.15,34.86,899.92,83.49,9.19,16.44,4.99,121.97,435.48,115,0.562,3598.87
rice,56.49,6.29,57.22,62.96,35.49,33.0,601.95,55.91,9.2,18.72,6.16,86.77,166.42,137,0.832,4472.25
wheat,41.3,5.95,42.78,32.19,72.47,33.65,1072.39,58.91,5.81,21.11,8.95,52.94,145.92,117,0.664,4002.18
soybean,76.45,7.1,84.51,23.19,87.18,34.08,969.75,66.34,9.08,27.22,11.5,31.96,377.43,112,0.501,1804.6
soybean,47.09,5.75,53.08,45.82,54.16,20.81,873.58,80.38,7.38,35.06,12.91,22.1,257.72,96,0.832,1992.65
maize,59.9,5.61,65.93,51.25,76.55,31.48,586.36,57.31,7.26,56.92,20.81,8.44,19.99,112,0.827,6381.71
soybean,42.23,6.75,90.09,69.37,39.13,20.82,668.1,57.62,8.42,28.54,9.4,37.29,156.15,146,0.885,2265.75
rice,51.52,5.61,108.85,49.65,36.68,31.06,1157.8,58.89,5.05,26.73,10.38,36.03,305.25,131,0.729,4085.67
soybean,66.68,6.45,108.0,68.59,86.07,25.41,912.17,71.37,7.13,31.26,15.56,20.56,280.39,142,0.679,1925.64
maize,86.42,6.57,89.83,57.14,36.02,33.63,826.68,73.76,7.19,49.77,21.92,9.17,50.08,147,0.736,7229.53
rice,59.32,5.57,99.17,63.06,95.02,27.84,986.43,76.18,6.48,16.32,7.29,84.03,361.08,139,0.748,4423.56
rice,56.6,7.01,79.78,66.17,36.66,30.14,1083.99,53.56,8.77,15.21,5.53,118.92,56.54,143,0.551,3542.34
wheat,87.91,6.48,115.92,62.16,31.01,19.05,657.6,53.64,8.46,10.0,3.71,269.78,426.67,140,0.53,3552.44
soybean,43.14,7.32,66.18,26.23,75.17,26.99,714.82,55.71,5.65,33.84,13.94,21.2,261.29,140,0.623,2179.29
rice,64.05,5.8,87.33,47.0,36.48,23.73,688.77,54.31,9.93,20.83,7.77,61.75,223.08,145,0.66,4058.39
soybean,84.08,6.94,91.35,77.6,78.41,28.68,786.23,66.32,8.84,32.67,10.94,27.97,283.24,138,0.75,1770.68
maize,49.51,5.58,117.29,38.9,65.79,18.14,907.88,76.08,8.55,64.76,29.8,5.18,317.15,135,0.823,6950.76
maize,72.48,7.02,98.1,51.97,80.1,26.81,497.17,70.65,9.63,60.15,18.26,9.11,30.19,127,0.788,6904.26
maize,81.39,6.68,74.1,54.06,51.67,20.31,990.89,51.59,5.56,59.88,19.54,8.55,329.26,110,0.833,7645.69
wheat,60.44,5.76,69.11,22.03,49.42,23.86,706.02,77.51,9.05,29.43,13.64,24.91,250.22,106,0.798,4308.12
cotton,55.45,6.32,97.45,57.13,93.5,30.66,968.8,75.19,7.81,60.29,21.12,7.85,232.64,129,0.862,2468.53
soybean,66.82,7.37,78.07,39.65,47.3,27.78,586.79,61.98,7.28,31.71,12.72,24.79,498.09,123,0.556,2438.92
maize,74.31,7.04,86.86,76.88,39.02,18.3,850.11,84.59,6.32,54.47,19.81,9.27,359.17,121,0.69,6486.78
soybean,77.06,7.29,111.89,72.28,57.95,21.95,542.38,70.27,5.51,28.61,9.7,36.02,411.61,91,0.837,2036.54
rice,72.06,6.01,101.01,49.65,53.65,19.69,846.28,58.41,6.04,24.44,12.02,34.03,330.69,127,0.689,3585.55
rice,69.9,5.76,115.7,24.28,37.01,28.71,643.36,66.61,9.31,20.53,9.31,52.31,410.61,106,0.695,4389.3
cotton,52.33,5.77,50.21,52.25,65.31,23.79,619.79,50.29,8.55,63.79,31.42,4.99,79.66,134,0.835,3044.3
wheat,60.05,6.39,75.83,77.68,59.33,34.21,949.48,67.74,6.16,11.95,5.43,154.3,44.69,102,0.733,4712.69
rice,65.4,6.29,72.19,46.27,44.98,18.04,1018.81,68.15,8.94,22.38,9.2,48.59,190.22,96,0.61,4236.9
cotton,47.72,5.95,51.73,24.42,83.78,23.81,414.45,52.92,8.47,57.23,21.28,8.21,496.84,115,0.69,2217.98
soybean,71.15,6.9,52.24,33.63,70.29,29.98,512.83,73.04,6.42,37.16,15.77,17.06,254.07,109,0.592,2093.27
maize,82.49,7.36,107.38,67.32,39.98,28.34,550.25,60.94,8.84,55.05,17.71,10.26,192.79,136,0.824,7281.24
rice,65.82,5.68,44.3,64.53,49.91,19.54,912.56,83.5,8.42,17.11,5.82,100.38,63.68,140,0.569,4169.93
rice,82.49,6.53,61.97,22.49,30.93,19.13,1004.86,72.3,7.42,24.68,8.26,49.08,187.63,110,0.854,3824.68
soybean,55.66,5.9,75.06,52.09,34.11,29.64,468.31,74.51,9.92,30.75,9.75,33.36,75.1,108,0.574,2348.72
wheat,59.2,6.99,61.46,43.17,58.53,18.65,697.71,72.69,7.0,18.65,7.65,70.08,310.6,146,0.595,4181.79
maize,70.37,7.04,78.71,43.86,63.48,22.49,918.23,84.07,6.65,60.09,26.1,6.38,263.86,143,0.627,8116.56
soybean,85.28,6.66,46.67,43.91,71.66,20.64,684.58,82.58,9.54,31.59,12.25,25.83,224.51,118,0.729,2198.71
cotton,73.9,6.12,77.68,64.14,50.35,30.78,703.75,64.77,8.99,65.87,24.86,6.11,74.89,92,0.525,2608.81
wheat,51.64,6.24,80.91,31.25,75.8,32.39,684.51,62.28,5.97,17.88,7.36,75.96,478.04,123,0.772,4350.44
soybean,49.51,6.63,96.5,71.43,35.08,18.29,1137.85,76.82,5.71,21.99,7.39,61.53,193.53,117,0.638,2376.47
soybean,89.26,7.4,41.93,44.4,61.13,22.31,559.07,63.81,9.36,28.32,9.29,38.01,326.57,140,0.528,2175.17
rice,50.92,6.64,103.09,77.9,66.56,23.87,550.71,73.71,6.41,29.1,14.51,23.68,338.36,103,0.857,4376.99
cotton,71.48,7.37,71.44,42.97,94.81,19.57,866.01,69.2,8.85,55.53,17.22,10.46,211.15,117,0.662,2651.53
maize,81.95,6.08,73.3,65.62,52.14,29.98,955.82,56.42,7.96,51.47,23.49,8.27,461.3,93,0.771,7221.58
cotton,84.78,7.08,75.75,45.03,31.35,24.58,973.27,62.86,7.99,69.8,23.59,6.07,58.0,115,0.563,2308.81
rice,57.31,6.21,90.82,21.07,32.07,29.21,999.58,54.69,8.3,14.38,5.62,123.78,7.4,108,0.518,4007.51
cotton,55.89,6.29,48.49,56.53,70.29,28.18,845.87,56.54,9.96,62.63,29.14,5.48,471.41,127,0.501,2591.06
cotton,76.14,7.43,52.37,51.42,88.49,28.62,1096.93,82.26,6.46,53.31,23.1,8.12,388.45,101,0.633,2138.64
soybean,64.49,6.68,51.61,24.26,50.45,30.15,993.6,74.11,6.05,22.51,8.17,54.39,172.48,97,0.848,1711.78
soybean,62.39,5.94,58.45,50.38,72.02,23.55,1074.8,66.35,8.13,32.57,15.34,20.02,155.77,137,0.822,2063.62
rice,48.93,6.87,71.59,48.35,51.39,33.81,903.91,58.59,5.19,31.62,14.87,21.27,417.81,96,0.857,3156.98
cotton,73.17,6.55,52.04,26.42,79.55,23.03,552.79,63.88,5.85,58.51,28.78,5.94,308.4,112,0.846,2307.29
cotton,81.86,7.24,94.31,68.74,82.52,21.98,526.17,60.12,9.68,56.82,21.94,8.02,326.19,93,0.678,2270.46
wheat,42.15,7.42,85.61,44.84,39.3,28.87,1064.29,56.69,5.46,13.02,4.44,172.88,308.49,119,0.891,5065.05
maize,89.34,5.86,59.31,33.83,58.81,27.95,650.46,78.14,6.22,60.3,28.32,5.86,135.83,116,0.568,8060.32
cotton,58.09,7.49,53.48,52.08,92.05,34.21,552.05,59.56,6.42,47.9,21.17,9.86,226.65,105,0.623,2003.8
cotton,52.23,5.97,101.67,58.14,95.31,23.07,755.28,60.05,6.14,59.34,21.97,7.67,7.88,138,0.618,2525.25
soybean,67.86,6.0,119.02,46.83,49.38,19.21,878.41,59.93,6.91,30.36,12.68,25.98,123.91,121,0.691,1929.35
wheat,56.13,6.96,119.22,67.77,34.64,20.45,663.35,61.78,7.09,11.97,4.01,208.52,445.37,101,0.785,4890.44
rice,48.07,7.19,88.11,56.45,46.96,22.65,1097.23,65.45,9.13,33.62,15.23,19.53,408.82,111,0.529,4038.86
rice,66.91,7.03,53.45,58.82,87.53,32.68,544.47,56.23,7.77,15.29,6.02,108.64,222.85,119,0.798,3997.27
cotton,57.52,7.45,57.8,31.41,78.9,21.22,729.11,66.57,9.7,58.3,22.89,7.49,21.13,141,0.668,2249.97
rice,45.48,5.8,114.85,74.99,79.79,33.25,1188.32,83.22,9.66,21.47,9.94,46.88,199.41,144,0.737,4014.03
soybean,52.12,7.19,44.28,78.43,74.73,30.81,1193.97,60.38,6.73,29.41,9.17,37.1,247.28,92,0.728,1952.99
wheat,53.21,6.04,98.32,64.51,50.06,19.67,870.15,73.84,9.78,13.91,6.64,108.28,251.52,106,0.529,3742.84
wheat,63.36,6.43,63.82,25.54,33.21,24.92,1090.89,64.35,6.86,16.25,6.71,91.74,50.48,144,0.562,4836.67
cotton,54.0,7.48,57.0,38.96,78.39,28.74,681.95,70.29,9.66,54.25,19.81,9.31,74.11,129,0.772,2731.64
soybean,81.79,6.53,70.36,64.83,37.66,20.58,418.33,61.17,9.4,30.02,13.73,24.26,210.76,120,0.831,2352.52
maize,74.64,6.91,114.05,26.03,65.47,19.75,1144.78,66.68,6.66,60.18,24.75,6.71,53.1,140,0.879,7304.38
wheat,56.65,6.61,119.47,34.91,37.48,19.6,979.87,57.89,7.47,19.67,8.86,57.41,440.22,94,0.754,3511.93
soybean,82.9,5.51,63.65,62.01,34.77,23.89,843.75,79.58,6.55,26.67,10.22,36.68,408.23,106,0.558,2234.76
rice,74.77,5.62,47.3,77.31,41.78,33.78,564.78,65.44,6.27,19.52,7.24,70.78,383.63,130,0.714,3489.0
maize,68.38,5.5,112.21,60.42,78.58,18.77,773.97,65.21,9.04,48.89,16.65,12.29,489.58,145,0.526,7153.95
maize,46.07,6.72,87.41,78.28,70.26,31.32,725.09,58.85,5.42,68.29,20.59,7.11,305.61,94,0.856,5786.99
rice,52.89,7.28,61.16,34.69,79.72,19.15,812.16,53.0,9.71,19.17,9.54,54.7,11.92,96,0.699,4281.18
cotton,58.27,6.25,85.09,69.04,44.75,28.53,503.89,80.84,7.77,57.75,17.48,9.91,90.13,137,0.659,2727.28
soybean,45.36,7.47,76.54,32.21,33.16,31.99,1086.7,84.57,5.16,34.89,11.38,25.17,266.4,127,0.768,1929.17
soybean,75.95,6.23,88.18,65.73,59.39,32.74,662.0,80.81,8.84,29.11,10.06,34.14,255.24,137,0.547,2346.49
wheat,73.11,5.62,100.41,44.91,43.56,23.93,474.66,82.57,9.26,25.2,10.24,38.76,260.48,115,0.703,4304.2
soybean,69.95,6.76,114.66,45.94,49.31,23.17,979.62,79.75,7.06,30.8,15.38,21.11,492.8,94,0.676,1769.02
rice,57.4,7.37,92.75,66.27,86.88,28.02,526.97,66.53,5.53,14.92,6.45,103.96,68.86,113,0.715,3559.4
soybean,62.88,6.5,46.37,22.17,80.12,27.25,418.05,68.22,8.37,27.64,13.68,26.44,302.39,104,0.613,1702.09
rice,53.62,6.16,87.15,25.0,30.48,31.63,1019.87,67.25,5.49,13.28,5.2,144.7,364.69,139,0.745,3684.48
rice,41.71,5.96,47.95,22.56,99.05,30.23,905.78,68.23,9.66,13.42,5.42,137.51,470.68,97,0.853,4580.71
rice,79.39,6.91,102.68,43.88,59.64,18.24,814.96,74.67,6.17,23.1,9.21,47.03,157.88,130,0.804,4364.29
rice,54.65,6.35,94.55,67.43,30.18,20.18,816.26,66.51,8.84,24.6,10.47,38.81,243.39,96,0.744,3853.21
maize,73.31,7.38,82.26,55.91,70.34,19.79,791.3,54.01,6.94,52.72,24.29,7.81,122.67,129,0.86,6513.11
rice,87.64,7.4,114.99,23.94,42.6,27.32,711.53,56.02,6.91,21.04,9.24,51.43,262.24,108,0.506,4544.81
wheat,85.16,7.09,49.96,74.81,81.6,29.15,968.58,53.12,8.12,14.67,6.18,110.31,32.35,103,0.809,4041.25
cotton,86.72,7.01,116.35,44.38,45.5,34.98,1065.74,77.71,5.37,64.98,29.16,5.28,10.12,105,0.503,2233.89
maize,60.16,7.31,71.3,40.8,64.0,25.09,1181.04,72.27,9.5,63.42,30.14,5.23,367.97,104,0.705,5960.07
wheat,72.85,6.18,75.66,72.81,98.14,28.94,755.2,63.44,7.99,20.92,10.02,47.71,429.49,136,0.893,4772.2
rice,73.34,6.35,83.68,22.23,69.96,30.91,611.61,66.92,6.29,22.9,9.11,47.92,348.56,135,0.768,3914.03
maize,80.14,6.91,71.82,63.95,59.77,30.05,507.84,67.72,7.42,64.09,28.61,5.45,372.07,93,0.832,7121.53
cotton,78.46,7.4,59.07,47.11,64.04,25.11,1049.0,81.16,5.11,64.57,20.55,7.54,228.92,133,0.739,2412.33
rice,48.79,6.62,103.57,75.47,48.91,26.58,897.76,52.54,7.57,20.38,7.02,69.94,129.98,133,0.73,3750.03
cotton,73.86,6.34,63.07,73.34,40.12,29.35,493.18,72.0,5.62,54.87,19.29,9.45,464.59,109,0.844,2573.32
wheat,49.34,7.01,106.23,32.25,76.12,27.81,723.51,62.22,8.64,15.34,6.03,108.16,423.02,107,0.787,4943.85
soybean,45.77,7.4,48.04,57.08,44.78,18.54,520.46,60.0,6.67,23.6,8.89,47.67,417.58,146,0.83,2293.26
maize,57.0,7.41,108.24,53.78,86.95,27.06,1082.12,63.25,7.66,70.22,25.3,5.63,300.87,93,0.68,6701.2
soybean,54.74,7.39,104.72,60.2,62.39,29.2,813.37,68.98,5.89,28.53,8.73,40.13,377.77,123,0.599,2186.62
maize,41.13,7.4,67.45,76.24,96.84,21.25,737.08,83.95,9.45,66.3,31.26,4.83,282.82,128,0.671,7348.54
soybean,72.04,7.19,70.87,50.57,96.37,23.5,1069.37,74.65,6.04,24.12,10.92,37.98,397.84,124,0.611,2356.76
cotton,50.79,6.76,77.38,54.11,78.15,21.54,791.99,71.97,5.83,60.35,29.63,5.59,103.83,146,0.662,2267.17
soybean,45.51,6.16,44.18,32.75,48.81,27.02,525.56,67.83,8.3,37.55,13.96,19.08,119.57,148,0.839,1951.12
soybean,62.36,6.6,75.93,41.34,69.2,34.89,1086.28,70.26,6.08,33.96,15.03,19.6,154.25,118,0.797,2441.59
wheat,47.0,6.97,107.04,57.57,35.74,32.37,563.07,66.08,5.46,15.07,4.65,142.75,240.17,112,0.616,3931.03
wheat,42.66,6.08,56.28,71.62,65.13,32.95,837.24,79.06,7.93,20.28,8.31,59.37,406.94,105,0.837,3643.78
maize,75.61,6.07,45.88,73.19,69.12,32.09,976.75,73.04,6.16,58.2,28.7,5.99,137.86,114,0.614,6631.81
soybean,88.75,6.2,100.49,49.43,51.77,24.86,885.58,53.11,7.29,29.59,13.96,24.21,384.69,132,0.667,1997.82
soybean,77.92,6.14,103.8,50.96,30.61,21.55,429.88,55.69,7.2,39.57,17.55,14.4,417.15,116,0.891,2358.77
cotton,81.39,5.72,117.7,56.69,51.9,24.03,1050.7,62.66,9.44,64.35,31.59,4.92,123.25,141,0.7,2648.8
soybean,82.16,7.3,46.31,73.01,61.31,21.95,614.64,72.19,6.82,23.89,10.99,38.07,151.78,111,0.682,2175.43
maize,55.44,6.08,66.46,49.73,70.51,34.64,542.96,80.84,5.89,63.41,31.56,5.0,280.66,117,0.572,7262.24
cotton,57.46,6.72,82.46,42.94,56.72,23.89,1116.23,60.36,8.66,63.18,21.27,7.44,392.12,125,0.748,2841.68
rice,45.89,7.05,109.32,79.05,31.84,25.4,506.68,84.94,5.52,13.91,5.0,143.73,127.01,115,0.699,3583.57
cotton,84.46,6.13,49.86,43.23,87.92,27.94,775.66,82.61,9.3,63.49,19.13,8.23,338.99,117,0.605,2847.6
soybean,52.5,7.22,83.48,56.61,82.56,32.63,598.5,60.72,7.93,31.97,9.87,31.68,255.47,110,0.597,2224.1
soybean,68.66,6.59,68.15,22.36,99.67,33.96,1051.91,84.37,7.04,31.14,10.36,30.99,198.98,102,0.827,1711.88
rice,53.35,6.6,64.74,72.22,76.07,18.11,1075.68,65.34,7.67,19.2,5.92,87.91,450.77,106,0.542,4192.38
wheat,69.69,6.13,67.15,35.73,58.78,29.33,445.46,79.17,9.35,19.17,6.88,75.81,250.96,134,0.865,4118.52
soybean,56.79,6.6,73.47,29.28,49.06,24.17,1103.05,77.66,6.97,25.87,11.32,34.15,487.06,133,0.647,1777.18
wheat,54.14,7.47,50.87,32.02,45.65,30.5,952.87,67.71,7.43,11.94,5.9,141.85,75.75,98,0.835,3485.97
rice,75.71,6.22,45.31,56.23,85.38,29.31,936.39,76.35,8.39,16.26,7.64,80.55,381.63,120,0.81,4145.29
rice,74.7,6.89,45.73,41.12,82.74,28.75,1097.66,62.0,8.37,12.96,5.29,145.93,298.62,107,0.821,3511.34
cotton,75.65,6.98,92.64,65.66,32.91,31.78,420.88,65.93,7.69,59.73,18.35,9.12,212.7,141,0.787,2710.33
wheat,46.53,6.81,74.16,41.59,95.28,31.43,1196.0,72.09,9.28,10.0,4.76,210.02,211.58,117,0.702,3772.59
maize,89.54,7.13,78.6,64.83,33.02,33.32,869.09,59.46,9.0,64.77,29.22,5.28,309.59,145,0.709,7110.96
cotton,40.62,6.12,77.79,75.38,64.18,34.2,695.17,72.82,8.98,59.06,25.34,6.68,448.32,116,0.895,2797.77
rice,58.03,7.29,117.4,20.96,58.05,32.27,563.3,81.79,6.95,16.87,6.52,90.97,156.28,145,0.594,4406.01
maize,76.16,7.41,116.89,27.54,81.47,30.66,966.51,79.4,6.1,57.0,20.27,8.65,124.65,143,0.818,6497.55
soybean,48.35,5.6,46.11,74.67,95.8,19.17,547.98,68.93,9.86,32.53,15.08,20.39,495.09,92,0.51,2250.5
soybean,40.28,5.57,96.32,66.16,74.18,22.43,1022.9,84.21,8.92,40.72,14.79,16.61,108.98,114,0.72,1891.86
cotton,43.06,5.55,116.83,48.42,46.92,34.26,420.67,71.98,7.77,52.94,20.72,9.12,423.68,120,0.578,2218.91
soybean,56.5,6.22,91.2,37.72,51.57,18.82,1004.27,65.36,8.29,21.1,10.05,47.14,223.63,129,0.572,1792.48
cotton,49.51,5.51,116.19,40.77,57.14,24.57,675.76,56.09,6.37,61.4,24.6,6.62,327.44,104,0.555,2242.21
soybean,52.22,6.82,112.15,69.91,35.69,30.75,979.04,79.55,9.23,31.15,10.9,29.45,226.47,100,0.519,1942.48
cotton,86.47,5.85,53.24,79.28,94.22,31.92,500.09,78.61,9.76,60.25,25.01,6.64,78.12,149,0.749,3005.06
cotton,51.93,6.39,63.59,79.69,55.16,31.65,569.18,69.61,8.34,56.81,19.79,8.9,412.72,112,0.613,2523.34
wheat,57.79,6.52,105.2,36.27,98.57,33.32,651.69,70.58,6.64,22.53,7.77,57.15,353.15,140,0.712,4606.19
cotton,62.93,6.92,109.65,70.89,77.29,31.54,1199.15,52.69,5.4,63.12,25.35,6.25,39.11,123,0.761,2288.69
wheat,61.33,6.01,110.44,54.55,78.31,24.42,1186.36,56.32,6.21,20.48,7.29,67.0,45.58,115,0.691,4656.55
rice,64.64,6.35,54.72,76.94,85.23,32.05,909.58,63.43,5.17,18.74,7.91,67.48,362.55,143,0.8,4391.64
maize,59.76,6.69,53.93,42.29,87.3,24.53,684.93,73.64,7.5,63.55,24.85,6.33,49.88,113,0.657,7698.72
rice,53.03,6.46,49.15,57.48,50.12,27.77,826.26,83.04,5.18,22.47,9.45,47.06,345.57,123,0.692,4252.97
wheat,82.94,7.29,111.86,55.09,39.01,23.72,1105.66,50.62,9.15,13.57,4.89,150.73,282.82,96,0.868,3911.05
maize,77.35,7.15,71.41,47.21,89.13,20.04,914.61,61.04,5.54,63.73,28.76,5.46,313.54,96,0.769,7406.9
wheat,64.13,6.64,80.05,52.22,41.63,23.37,1185.31,69.04,6.92,17.31,5.77,100.13,493.68,96,0.546,3957.25
wheat,89.1,7.21,54.33,31.52,93.22,30.07,988.16,84.83,5.23,10.01,3.4,293.88,388.66,114,0.834,4783.23
maize,41.42,6.84,57.24,53.18,74.73,31.39,406.97,54.49,7.15,58.16,18.65,9.22,16.29,122,0.573,6773.91
rice,62.37,5.6,96.73,44.87,72.83,21.38,1083.2,63.85,9.96,20.17,6.12,81.0,83.99,91,0.768,3557.09
wheat,89.49,6.43,60.77,42.54,49.17,19.3,506.51,62.06,6.02,14.99,6.44,103.62,187.65,131,0.796,4279.56
wheat,59.37,6.42,85.59,53.75,86.48,21.62,763.07,62.67,9.34,10.0,3.5,286.12,489.92,104,0.878,4650.16
rice,57.04,6.79,107.69,35.7,53.12,32.64,413.1,84.53,9.46,28.85,9.54,36.34,306.53,147,0.551,3560.34
rice,87.64,5.54,115.03,62.73,81.2,33.18,1177.54,57.62,6.42,21.98,8.61,52.86,341.61,121,0.881,4601.86
cotton,63.18,6.07,115.55,58.29,32.09,30.7,830.46,80.47,6.04,63.87,22.52,6.95,74.44,104,0.714,2291.83
soybean,84.41,7.02,58.65,67.37,96.18,25.96,589.05,69.78,6.38,26.36,9.3,40.8,390.15,109,0.856,1725.58
soybean,81.11,6.45,62.98,71.26,41.6,19.47,727.41,78.13,7.59,26.46,10.07,37.53,329.52,121,0.725,1754.61
wheat,62.21,5.6,72.57,34.43,81.84,32.94,773.98,83.11,6.64,11.93,5.26,159.4,413.3,104,0.659,3733.65
rice,61.78,7.48,59.18,53.61,74.91,30.8,849.15,68.78,5.5,18.79,7.89,67.48,128.01,125,0.789,4485.33
rice,44.77,7.36,55.15,36.04,86.46,27.01,614.37,67.87,5.62,24.97,11.98,33.44,9.21,140,0.754,3793.18
cotton,73.23,6.69,90.29,47.7,38.12,33.76,510.48,80.61,5.99,64.24,23.89,6.52,318.12,136,0.61,2738.82
wheat,61.17,6.24,113.36,27.01,74.73,27.16,617.86,66.29,7.82,22.08,8.07,56.12,171.26,98,0.815,3716.91
cotton,40.8,7.33,104.78,71.14,57.61,25.14,946.0,76.16,7.93,60.14,27.24,6.1,221.69,140,0.562,2313.63
soybean,51.63,6.1,97.76,39.82,58.87,32.39,1044.9,76.38,7.46,23.19,8.4,51.34,96.6,116,0.674,1774.04
rice,41.82,6.04,50.76,20.97,77.94,32.9,823.57,80.68,7.14,19.3,7.39,70.08,457.09,126,0.858,4217.31
wheat,57.81,7.13,91.53,35.64,49.04,24.39,654.28,79.07,5.29,13.3,6.32,118.9,55.29,102,0.782,4365.56
soybean,42.35,6.06,115.7,67.86,59.03,21.45,549.12,77.12,9.5,27.16,9.59,38.39,208.04,97,0.708,1884.02
maize,86.28,6.44,65.62,67.65,47.38,29.73,930.29,57.31,6.04,63.37,19.86,7.95,127.84,128,0.734,7980.02
maize,42.86,6.95,67.43,69.02,81.18,21.16,805.7,74.03,9.39,65.42,23.19,6.59,493.66,91,0.859,7288.39
maize,45.16,5.97,105.62,31.2,88.97,24.91,525.84,63.94,9.09,57.64,18.93,9.16,111.76,133,0.767,7506.07
maize,48.36,6.14,42.13,36.89,86.45,30.47,1076.07,64.83,6.95,60.34,21.47,7.72,457.96,115,0.739,6597.07
rice,55.33,6.27,97.16,67.07,97.09,25.85,978.77,54.69,8.31,22.64,9.41,46.97,152.02,126,0.698,3535.23
maize,41.65,6.79,82.48,59.67,50.02,18.53,946.23,71.3,7.49,60.78,21.26,7.74,414.27,91,0.708,7293.13
wheat,60.83,5.88,49.22,54.55,89.21,23.42,610.01,56.23,9.1,10.0,3.86,258.8,107.7,139,0.868,3795.3
wheat,56.23,7.08,85.74,32.39,70.28,30.54,534.95,72.68,5.88,24.68,12.1,33.48,46.99,94,0.667,4278.52
maize,74.71,7.1,73.94,49.96,98.53,30.63,1197.33,54.54,6.01,60.97,24.46,6.71,49.19,114,0.61,7822.54
soybean,70.89,7.48,54.33,36.45,30.28,19.43,446.65,79.17,5.79,25.48,10.77,36.43,261.84,138,0.781,2117.67
cotton,71.6,5.68,111.8,24.17,48.57,24.71,1088.94,50.49,9.54,64.74,27.06,5.71,410.44,133,0.757,2542.77
soybean,45.3,6.8,111.79,67.46,58.95,19.56,780.15,63.15,9.82,32.82,15.75,19.35,403.49,134,0.754,2223.53
wheat,64.57,6.12,96.04,58.27,38.77,25.23,496.64,83.58,5.97,22.73,8.43,52.18,213.62,104,0.838,3523.51
maize,73.98,7.25,103.17,51.56,80.57,28.44,651.12,72.26,5.98,56.31,28.03,6.34,278.16,137,0.642,7629.5
wheat,55.48,6.97,52.58,56.4,98.75,21.96,1059.65,83.09,8.51,10.0,3.74,267.19,398.6,99,0.737,3832.16
wheat,71.96,7.01,50.13,49.81,47.85,34.01,442.85,69.26,7.87,10.34,3.75,257.76,460.06,98,0.74,4656.93
maize,69.14,6.68,113.69,52.44,92.62,29.46,905.41,61.2,8.76,58.23,28.59,6.01,121.73,129,0.725,7858.6
maize,44.71,5.66,107.12,76.99,64.74,23.35,1141.95,60.91,6.69,63.58,24.7,6.37,292.42,147,0.864,7204.45
maize,66.48,7.27,89.32,62.4,32.22,22.6,540.8,50.17,8.32,58.41,17.74,9.65,1.91,129,0.564,8281.99
cotton,69.63,5.89,44.7,38.93,50.78,18.05,1125.05,73.16,9.86,60.54,25.49,6.48,221.71,141,0.68,2325.66
maize,41.72,5.57,101.95,25.26,35.93,29.9,636.51,80.31,8.96,59.7,25.97,6.45,97.2,131,0.592,7487.05
soybean,67.56,6.64,95.98,33.3,81.5,28.62,766.8,52.31,9.56,34.13,10.8,27.14,456.34,146,0.749,2372.14
soybean,58.17,7.49,92.76,27.59,30.17,28.05,1129.45,82.4,8.37,33.73,15.32,19.35,499.12,92,0.866,1720.4
maize,77.62,7.47,100.06,51.73,95.1,32.67,677.34,76.13,9.75,62.09,23.56,6.84,357.93,100,0.857,5926.23
wheat,78.84,6.63,77.46,56.26,50.11,33.63,702.25,66.83,8.33,10.0,3.1,322.24,8.76,103,0.543,3847.68
maize,71.45,6.79,62.39,75.19,70.87,18.12,869.75,53.03,7.42,62.19,19.77,8.14,300.34,94,0.785,7902.88
soybean,55.92,7.29,70.57,79.94,95.79,18.29,675.14,69.2,8.08,23.69,11.35,37.19,385.87,124,0.824,1948.54
rice,69.24,5.73,116.44,33.1,46.53,24.19,1080.29,69.58,7.73,20.25,8.28,59.66,58.79,144,0.573,3764.54
wheat,75.0,7.13,71.35,48.62,68.04,31.55,1024.19,59.78,9.86,10.0,3.93,254.72,75.48,95,0.785,3684.25
cotton,78.06,7.13,61.61,36.37,32.62,30.62,658.72,75.23,5.5,53.47,23.56,7.94,302.32,91,0.74,2395.21
soybean,52.04,5.62,115.24,37.3,58.7,28.68,565.39,77.68,5.91,27.2,10.0,36.78,481.31,99,0.848,2196.26
soybean,77.13,6.29,110.78,50.91,45.1,32.7,1169.77,51.37,6.47,25.03,9.3,42.97,272.0,109,0.662,1846.61
